house_index,bedrooms,bathrooms,toilets,property_type,property_subtype,locality,postal_code,street,number,box,apptFloor,totalfloorCount,latitude,longitude,kitchen,facades,furnished,terrace,terraceSurface,fireplace,fireplaceCount,garden,gardenSurface,pool,landSurface,livingArea,buildingState,constructionYear,cadastralIncome,price,nearest_transport,nearest_school,nearest_supermarket,mobib_score
0,2.0,1.0,1.0,HOUSE,HOUSE,HERENTALS,2200,Ernest Claesstraat,33,,,,51.1713703,4.843203,1.0,3.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,290.0,140.0,TO_RENOVATE,1951.0,0.0,180000.0,1146.1551636973068,344.1204002000071,613.0592601257036,7.833673341519784
1,3.0,1.0,1.0,HOUSE,HOUSE,Zelzate,9060,Denderdreve,67,,,,51.2037061,3.7883343,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,674.0,179.0,TO_RENOVATE,1965.0,956.0,298000.0,471.2803536324214,643.2421064911777,1556.9073852117294,7.904859867354833
2,3.0,1.0,1.0,HOUSE,HOUSE,Gent,9000,Druifstraat,2,,,,51.0627079,3.6928073,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,157.0,TO_RENOVATE,1936.0,555.0,299000.0,741.3401624073146,1410.2496673377514,640.012175379938,7.644705221645121
3,3.0,1.0,1.0,HOUSE,HOUSE,ANTWERPEN,2020,Stijgbeugelstraat,2,,,,51.1823326,4.3835555,1.0,,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,89.0,112.0,GOOD,1946.0,642.0,310000.0,86.91300024055653,492.4846641363748,491.65231132592254,9.228024682704394
4,3.0,2.0,0.0,HOUSE,EXCEPTIONAL_PROPERTY,Rillaar,3202,Diestsesteenweg,354-356,,,,50.97481560000001,4.893933100000001,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,270.0,0.0,678.0,568.0,TO_RENOVATE,1952.0,2322.0,385000.0,27.575091127428056,5518.4661422128065,4141.309393670725,4.202360282716279
5,8.0,1.0,2.0,HOUSE,HOUSE,Eeklo,9900,Visstraat,18,,,,51.180907,3.5728459,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,606.0,496.0,TO_RENOVATE,1960.0,0.0,475000.0,111.5635342597387,3718.644693734587,152.95099424061937,7.2701848290035445
6,3.0,1.0,1.0,HOUSE,BUNGALOW,Overijse,3090,Belgiëlaan,17,,,,50.7812873,4.5382266,1.0,4.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,752.0,148.0,TO_BE_DONE_UP,1975.0,2538.0,575000.0,760.9750062816829,1097.2624756086084,1149.9663483165366,7.48721410900766
7,3.0,1.0,2.0,HOUSE,MANSION,VICHTE,8570,Bosstraat,11,,,4.0,50.8381576,3.4089277,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0,275.0,TO_BE_DONE_UP,1946.0,3489.0,595000.0,307.73312774502375,4064.5081776281327,5422.73261507786,3.88001704458788
8,3.0,1.0,1.0,APARTMENT,APARTMENT,Schaerbeek,1030,Avenue Herbert Hoover,59,1,5.0,5.0,50.8477348,4.4076018,1.0,,0.0,1.0,16.0,1.0,1.0,0.0,0.0,1.0,,130.0,TO_BE_DONE_UP,1962.0,1520.0,420000.0,28.17820227011593,455.2845739122853,527.1246234378403,9.307489598739762
9,3.0,1.0,1.0,APARTMENT,APARTMENT,Schaerbeek,1200,Avenue Herbert Hoover,59,1,5.0,5.0,50.8477348,4.4076018,1.0,,0.0,1.0,16.0,1.0,1.0,0.0,0.0,1.0,,130.0,TO_BE_DONE_UP,1962.0,1520.0,420000.0,28.17820227011593,455.2845739122853,527.1246234378403,9.307489598739762
10,4.0,1.0,1.0,HOUSE,HOUSE,PELT,3900,Juliaan De Vriendtstraat,3,,,,51.2097758,5.4245451,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,368.0,185.0,TO_RENOVATE,1963.0,850.0,298000.0,195.65812708098383,17751.67989123313,960.9363824054427,6.098498242288393
11,3.0,1.0,2.0,HOUSE,TOWN_HOUSE,KRUIBEKE,9150,Molenstraat,9,,,,51.1763476,4.3149404,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,323.0,190.0,GOOD,1960.0,731.0,374000.0,63.604748137899655,2373.0314993514016,2868.0888907990025,6.421113409049197
12,5.0,1.0,2.0,HOUSE,HOUSE,Linkebeek,1630,Rue Hollebeek,248,,,2.0,50.76499560000001,4.3481388,1.0,4.0,0.0,1.0,51.0,0.0,0.0,1.0,444.0,0.0,576.0,235.0,GOOD,1968.0,2677.0,630000.0,510.55881769362645,3438.8049038109752,1192.1290783414622,6.231965588306873
13,4.0,1.0,2.0,HOUSE,HOUSE,Woluwe-Saint-Pierre,1150,Rue au Bois,85,,,2.0,50.8349156,4.4427797,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,0.0,270.0,180.0,TO_RENOVATE,1934.0,1601.0,670000.0,357.3364539960436,609.4814897088214,240.79236229893542,8.956702160000104
14,4.0,2.0,3.0,HOUSE,HOUSE,Uccle,1180,Dieweg,58B,,,2.0,50.79461879999999,4.3413691,1.0,2.0,0.0,1.0,62.0,1.0,1.0,1.0,200.0,0.0,350.0,224.0,TO_BE_DONE_UP,1933.0,2335.0,1100000.0,347.23145718516207,1252.9137762367602,657.0599333902215,8.26370891733513
15,1.0,1.0,1.0,APARTMENT,APARTMENT,LOUVAIN-LA-NEUVE,1348,rue des Chinels,7,001,0.0,,50.6706623,4.605852899999999,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46.0,GOOD,1975.0,770.0,175000.0,599.271388760393,309.55099983779013,488.76642881360453,8.66875986255188
16,1.0,1.0,0.0,APARTMENT,APARTMENT,Gent,9000,Francisco Ferrerlaan,19,,0.0,2.0,51.0674553,3.6998036,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.0,JUST_RENOVATED,1935.0,201.0,220000.0,176.53000987818743,1363.0532414942345,673.3911491137733,8.40699705975708
17,3.0,0.0,0.0,APARTMENT,APARTMENT,Merksem,2170,Nieuwdreef,1A,,2.0,,51.2435803,4.442482099999999,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,116.0,TO_BE_DONE_UP,1972.0,1186.0,259000.0,118.03334254943405,1500.590252550742,127.99668645868745,8.756897583927802
18,3.0,1.0,2.0,APARTMENT,APARTMENT,WILRIJK,2610,Groenenborgerlaan,22,,1.0,,51.1738307,4.4039206,1.0,,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,,120.0,,1975.0,0.0,319000.0,123.44682063895878,674.9986893766405,782.6559981927239,8.863634447435146
19,5.0,3.0,4.0,APARTMENT,DUPLEX,Uccle,1180,Avenue Brugmann,424,,8.0,2.0,50.804125,4.3421841,1.0,4.0,0.0,1.0,304.0,0.0,0.0,0.0,0.0,0.0,,320.0,AS_NEW,1966.0,0.0,1650000.0,52.72415180862788,324.0691162372488,313.7909370089924,9.504461095424334
20,4.0,1.0,1.0,HOUSE,HOUSE,Geraardsbergen,9500,Elleboogstraat,47,,,,50.79439,3.854052,1.0,4.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1200.0,248.0,GOOD,1965.0,0.0,299000.0,535.0609650789501,2741.2834638141617,2929.0559974253574,5.506359072401719
21,3.0,1.0,0.0,HOUSE,HOUSE,Berlaar,2590,Legrellestraat,90,,,,51.122338,4.657594,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,134.0,TO_RENOVATE,1948.0,0.0,329000.0,502.51724070566416,574.6863424887039,3832.5333311189243,6.3918305633206955
22,3.0,1.0,1.0,HOUSE,HOUSE,Nieuwrode,3221,Appelweg,100,,,,50.9463494,4.8165984,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6483.0,261.0,TO_RENOVATE,1956.0,0.0,438000.0,1044.4198998092133,2486.540999284838,5000.915307843734,3.9497461340644904
